"uid","project_number","civic_address","community","number_of_units","pid","housing_authority","county","municipality","x_coordina","y_coordina","location_1"
"1361","1601","11 Maria St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26547307","46.21152478","(46.21152478, -60.26547307)"
"1362","1601","15 Maria St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26570756","46.21161355","(46.21161355, -60.26570756)"
"1363","1601","17 Maria St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26578975","46.21165428","(46.21165428, -60.26578975)"
"1364","1601","13 Maria St","North Sydney","1","15022189","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26556165","46.21157153","(46.21157153, -60.26556165)"
"1365","1602","50 Clifford St","North Sydney","20","15021066","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26003115","46.20946613","(46.20946613, -60.26003115)"
"1366","1609","15 Manning St","North Sydney","1","15021694","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26235662","46.21012527","(46.21012527, -60.26235662)"
"1367","1609","143 West St","North Sydney","1","15498298","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25515898","46.21938567","(46.21938567, -60.25515898)"
"1368","1609","14 Cartwright St","North Sydney","1","15033475","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.24886961","46.22156675","(46.22156675, -60.24886961)"
"1369","1609","37 Young St","Sydney Mines","1","15187834","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21180136","46.25565563","(46.25565563, -60.21180136)"
"1370","1610","6 Thompson Ave","North Sydney","1","15494131","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25957003","46.21083991","(46.21083991, -60.25957003)"
"1371","1610","8 Thompson Ave","North Sydney","1","15025083","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25945248","46.21094808","(46.21094808, -60.25945248)"
"1372","1610","20 Johnston St","North Sydney","1","15021975","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26352143","46.21032286","(46.21032286, -60.26352143)"
"1373","1610","15 Memorial Dr","North Sydney","1","15032113","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.24584906","46.21565441","(46.21565441, -60.24584906)"
"1374","1611","8 Wall St","North Sydney","1","15032329","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.24595573","46.2168372","(46.2168372, -60.24595573)"
"1375","1611","21 Clearyville St","North Sydney","1","15551161","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25020086","46.2128716","(46.2128716, -60.25020086)"
"1376","1611","23 Gisborne St","North Sydney","1","15013402","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26307163","46.20229119","(46.20229119, -60.26307163)"
"1377","1612","171 West St","North Sydney","1","15555105","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25220129","46.22041047","(46.22041047, -60.25220129)"
"1378","1612","6 High St","North Sydney","1","15000508","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26638612","46.20629546","(46.20629546, -60.26638612)"
"1379","1612","8 High St","North Sydney","1","15000490","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26638499","46.20644316","(46.20644316, -60.26638499)"
"1380","1612","10 High St","North Sydney","1","15556434","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26636313","46.20660192","(46.20660192, -60.26636313)"
"1381","1609","145 West St","North Sydney","1","15494867","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25499049","46.21945037","(46.21945037, -60.25499049)"
"1382","1614","24 Margaret St","North Sydney","1","15014897","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25931175","46.20604623","(46.20604623, -60.25931175)"
"1383","1614","39 Brook St","North Sydney","1","15020159","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25700377","46.20634584","(46.20634584, -60.25700377)"
"1384","1615","10 Cornwall St","North Sydney","1","15016116","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.26264864","46.20611176","(46.20611176, -60.26264864)"
"1385","1703","9 MacInnis St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21680852","46.24140155","(46.24140155, -60.21680852)"
"1386","1703","11 MacInnis St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21684273","46.2413463","(46.2413463, -60.21684273)"
"1387","1703","13 MacInnis St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21693119","46.24121683","(46.24121683, -60.21693119)"
"1388","1703","15 MacInnis St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21695063","46.24116704","(46.24116704, -60.21695063)"
"1389","1703","17 MacInnis St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21714694","46.24102642","(46.24102642, -60.21714694)"
"1390","1703","19 MacInnis St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21715826","46.24097654","(46.24097654, -60.21715826)"
"1391","1703","4 James St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21639814","46.24107367","(46.24107367, -60.21639814)"
"1392","1703","6 James St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21644697","46.24101407","(46.24101407, -60.21644697)"
"1393","1703","8 James St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21661277","46.2408608","(46.2408608, -60.21661277)"
"1394","1703","10 James St","Sydney Mines","1","15178601","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21666295","46.24081414","(46.24081414, -60.21666295)"
"1395","1708","11 Seaview Dr","Sydney Mines","1","15178452","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21487553","46.2422291","(46.2422291, -60.21487553)"
"1396","1708","13 Seaview Dr","Sydney Mines","1","15178619","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21464427","46.24213652","(46.24213652, -60.21464427)"
"1397","1708","14 Seaview Dr","Sydney Mines","1","15178437","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2148376","46.24184184","(46.24184184, -60.2148376)"
"1398","1708","15 Seaview Dr","Sydney Mines","1","15178635","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21435229","46.24203758","(46.24203758, -60.21435229)"
"1399","1708","16 Seaview Dr","Sydney Mines","1","15178445","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21463261","46.24176646","(46.24176646, -60.21463261)"
"1400","1708","54 Guy St","Sydney Mines","1","15177421","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22485755","46.24141023","(46.24141023, -60.22485755)"
"1401","1711","5 Peck St","Sydney Mines","1","15008774","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.20950719","46.25498641","(46.25498641, -60.20950719)"
"1402","1711","35 Peck St","Sydney Mines","1","15187370","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.20972079","46.25632706","(46.25632706, -60.20972079)"
"1403","1711","5 Seaview Dr","Sydney Mines","1","15504582","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21553187","46.24244338","(46.24244338, -60.21553187)"
"1404","1712","8 Seaview Dr","Sydney Mines","1","15504624","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.2155398","46.24210158","(46.24210158, -60.2155398)"
"1405","1712","10 Seaview Dr","Sydney Mines","1","15504632","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21530814","46.24202701","(46.24202701, -60.21530814)"
"1406","1712","12 Seaview Dr","Sydney Mines","1","15504640","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21508342","46.24193448","(46.24193448, -60.21508342)"
"1407","1713","14 Guy St","Sydney Mines","1","15181506","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22751084","46.24369748","(46.24369748, -60.22751084)"
"1408","1713","4 MacAulay Lane","Sydney Mines","1","15182819","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.23288926","46.24282532","(46.24282532, -60.23288926)"
"1409","1617","2 Emerald St","North Sydney","1","15033574","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.25203405","46.22301892","(46.22301892, -60.25203405)"
"1410","1713","124 Crescent St","Sydney Mines","1","15180805","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22171483","46.24339","(46.24339, -60.22171483)"
"1411","1714","22 MacInnis St","Sydney Mines","1","15602550","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21747313","46.24121905","(46.24121905, -60.21747313)"
"1412","1714","24 MacInnis St","Sydney Mines","1","15602568","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21758164","46.24111395","(46.24111395, -60.21758164)"
"1413","1715","84 Young St","Sydney Mines","1","15220916","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21117216","46.25777982","(46.25777982, -60.21117216)"
"1414","1715","86 Young St","Sydney Mines","1","15220866","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21113599","46.25794136","(46.25794136, -60.21113599)"
"1415","1713","7 Seaview Dr","Sydney Mines","1","15504590","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21530686","46.24235991","(46.24235991, -60.21530686)"
"1416","1717","90 Young St","Sydney Mines","1","15187552","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21114525","46.2580989","(46.2580989, -60.21114525)"
"1417","1717","98 Young St","Sydney Mines","1","15560246","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21112534","46.2583956","(46.2583956, -60.21112534)"
"1418","1718","25 Guy St","Sydney Mines","1","15181316","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.22675417","46.24333369","(46.24333369, -60.22675417)"
"1419","1717","94 Young St","Sydney Mines","1","15603251","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.21116125","46.25824753","(46.25824753, -60.21116125)"
"1420","1718","7 Peck St","Sydney Mines","1","15594609","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.20951277","46.25513055","(46.25513055, -60.20951277)"
"1421","1721","11 Peck St","Sydney Mines","2","15594591","Cape Breton Island Housing Authority","Cape Breton","Cape Breton Regional Municipality","-60.20955533","46.2552857","(46.2552857, -60.20955533)"
"1422","2007","25 Beaton St","Inverness","1","50173764","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.29937646","46.23561266","(46.23561266, -61.29937646)"
"1423","2007","8 MacKenzie Ave","Inverness","1","50130780","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.30656379","46.23072157","(46.23072157, -61.30656379)"
"1424","2007","12 MacKenzie Ave","Inverness","1","50130780","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.30642059","46.23087426","(46.23087426, -61.30642059)"
"1425","2008","20 Beaton St","Inverness","1","50129345","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.2998181","46.23538847","(46.23538847, -61.2998181)"
"1426","2008","26 Beaton St","Inverness","1","50129345","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.2995463","46.23527105","(46.23527105, -61.2995463)"
"1427","2008","42 MacLean St","Inverness","1","50173772","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.29863707","46.23571928","(46.23571928, -61.29863707)"
"1428","2023","70 Hillcrest St","Inverness","1","50178433","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.29909974","46.22972797","(46.22972797, -61.29909974)"
"1429","2023","85 Hillcrest St","Inverness","1","50178052","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.29860662","46.22985306","(46.22985306, -61.29860662)"
"1430","2023","76 Hillcrest St","Inverness","1","50178425","Cape Breton Island Housing Authority","Inverness","Municipality of the County of Inverness","-61.29891862","46.22961968","(46.22961968, -61.29891862)"
